"","filename","Persons"
"413","1948//md001007.xml","Sokolovski?, Vasili? Danilovich, 1897-1968"
"414","1948//md001007.xml","Tito, Josip Broz, 1892-1980"
"415","1948//md001008.xml","Roosevelt, Franklin D. (Franklin Delano), 1882-1945"
"416","1948//md001009.xml","Boone, Geraldine Livingston Thompson van Gerbig, 1903-1949"
"417","1948//md001009.xml","Dewey, Thomas E. (Thomas Edmund), 1902-1971"
"418","1948//md001009.xml","Du Bois, W. E. B. (William Edward Burghardt), 1868-1963"
"419","1948//md001009.xml","Gauss, Christian, 1878-1951"
"420","1948//md001009.xml","Thompson, Geraldine Livingston, 1872-1967"
"421","1948//md001009a.xml","na"
"422","1948//md001010.xml","Clay, Lucius D. (Lucius DuBignon), 1897-1978"
"423","1948//md001010.xml","Wallace, Henry Agard, 1888-1965"
"424","1948//md001011.xml","Thompson, Malvina, 1893-1953"
"425","1948//md001012.xml","Boettiger, John, 1900-1950"
"426","1948//md001012.xml","Morgan, Marie Newsome, 1910-"
"427","1948//md001012.xml","Roosevelt, Christopher duPont, 1942-"
"428","1948//md001012.xml","Roosevelt, Elliott, 1910-1990"
"429","1948//md001012.xml","Roosevelt, Franklin D. (Franklin Delano), 1914-1988"
"430","1948//md001012.xml","Stevenson, Robert Louis, 1850-1894"
